Estacao;Data;Hora;Velocidade do Vento Media;
83726;08/04/2007;0000;2.533333;
83726;09/04/2007;0000;2.1;
83726;10/04/2007;0000;1.866667;
83726;11/04/2007;0000;3.5;
83726;12/04/2007;0000;2.6;
83726;13/04/2007;0000;2.133333;
83726;14/04/2007;0000;2.966667;
83726;15/04/2007;0000;1.9;
83726;16/04/2007;0000;1.6;
83726;17/04/2007;0000;1.3;
83726;18/04/2007;0000;1.266667;
83726;19/04/2007;0000;1.366667;
83726;20/04/2007;0000;1.766667;
83726;21/04/2007;0000;1.066667;
83726;22/04/2007;0000;0.933333;
83726;23/04/2007;0000;1.2;
83726;24/04/2007;0000;2.2;
83726;25/04/2007;0000;1.866667;
83726;26/04/2007;0000;2.5;
83726;27/04/2007;0000;3.6;
83726;28/04/2007;0000;3.433333;
83726;29/04/2007;0000;2.633333;
83726;30/04/2007;0000;2.033333;
83726;01/05/2007;0000;2.2;
83726;02/05/2007;0000;1.966667;
83726;03/05/2007;0000;2.966667;
83726;04/05/2007;0000;2.6;
83726;05/05/2007;0000;2.4;
83726;06/05/2007;0000;2.266667;
83726;07/05/2007;0000;1.3;
83726;08/05/2007;0000;1.633333;
83726;09/05/2007;0000;2.866667;
83726;10/05/2007;0000;2.533333;
83726;11/05/2007;0000;2.433333;
83726;12/05/2007;0000;1;
83726;13/05/2007;0000;1.033333;
83726;14/05/2007;0000;1.933333;
83726;15/05/2007;0000;2.233333;
83726;16/05/2007;0000;2.966667;
83726;17/05/2007;0000;2.566667;
83726;18/05/2007;0000;2.166667;
83726;19/05/2007;0000;2.633333;
83726;20/05/2007;0000;2.7;
83726;21/05/2007;0000;3.6;
83726;22/05/2007;0000;1.333333;
83726;23/05/2007;0000;2.333333;
83726;24/05/2007;0000;2.033333;
83726;25/05/2007;0000;3.333333;
83726;26/05/2007;0000;2.166667;
83726;27/05/2007;0000;1.633333;
83726;28/05/2007;0000;1.033333;
83726;29/05/2007;0000;1.133333;
83726;30/05/2007;0000;1.9;
83726;31/05/2007;0000;1.533333;
83726;01/06/2007;0000;1.633333;
83726;02/06/2007;0000;1.366667;
83726;03/06/2007;0000;1.3;
83726;04/06/2007;0000;0.966667;
83726;05/06/2007;0000;2.033333;
83726;06/06/2007;0000;1.333333;
83726;07/06/2007;0000;1.4;
83726;08/06/2007;0000;0.866667;
83726;09/06/2007;0000;1.8;
83726;10/06/2007;0000;2.166667;
83726;11/06/2007;0000;1.9;
83726;12/06/2007;0000;2.133333;
83726;13/06/2007;0000;2.7;
83726;14/06/2007;0000;2.033333;
83726;15/06/2007;0000;2.766667;
83726;16/06/2007;0000;1.7;
83726;17/06/2007;0000;2.4;
83726;18/06/2007;0000;1.533333;
83726;19/06/2007;0000;2.3;
83726;20/06/2007;0000;1.3;
83726;21/06/2007;0000;2.266667;
83726;22/06/2007;0000;1.366667;
83726;23/06/2007;0000;1.733333;
83726;24/06/2007;0000;1.366667;
83726;25/06/2007;0000;2.733333;
83726;26/06/2007;0000;2.6;
83726;27/06/2007;0000;1.2;
83726;28/06/2007;0000;0.966667;
83726;29/06/2007;0000;1.6;
83726;30/06/2007;0000;0.766667;
83726;01/07/2007;0000;1.066667;
83726;02/07/2007;0000;1.233333;
83726;03/07/2007;0000;1;
83726;04/07/2007;0000;2.066667;
83726;05/07/2007;0000;3.333333;
83726;06/07/2007;0000;2.133333;
83726;07/07/2007;0000;2.366667;
83726;08/07/2007;0000;2.3;
83726;09/07/2007;0000;1.333333;
83726;10/07/2007;0000;1.133333;
83726;11/07/2007;0000;1.666667;
83726;12/07/2007;0000;2;
83726;13/07/2007;0000;2.166667;
83726;14/07/2007;0000;1.4;
83726;15/07/2007;0000;1.633333;
83726;16/07/2007;0000;3.3;
83726;17/07/2007;0000;1.866667;
83726;18/07/2007;0000;2.866667;
83726;19/07/2007;0000;1.4;
83726;20/07/2007;0000;2.766667;
83726;21/07/2007;0000;2.366667;
83726;22/07/2007;0000;3.9;
83726;23/07/2007;0000;1.533333;
83726;24/07/2007;0000;3.033333;
83726;25/07/2007;0000;3.066667;
83726;26/07/2007;0000;1.533333;
83726;27/07/2007;0000;1.533333;
83726;28/07/2007;0000;4.566667;
83726;29/07/2007;0000;5.566667;
83726;30/07/2007;0000;2.533333;
83726;31/07/2007;0000;1.2;
83726;01/08/2007;0000;1.833333;
83726;02/08/2007;0000;0.9;
83726;03/08/2007;0000;1.85;
83726;04/08/2007;0000;0.77166;
83726;06/08/2007;0000;3.233333;
83726;07/08/2007;0000;2.8;
83726;08/08/2007;0000;3.066667;
83726;09/08/2007;0000;4.2;
83726;10/08/2007;0000;3.133333;
83726;11/08/2007;0000;2.766667;
83726;12/08/2007;0000;3.233333;
83726;13/08/2007;0000;3;
83726;14/08/2007;0000;4.733333;
83726;15/08/2007;0000;2.8;
83726;16/08/2007;0000;2.966667;
83726;17/08/2007;0000;2.966667;
83726;18/08/2007;0000;3.7;
83726;19/08/2007;0000;2.766667;
83726;20/08/2007;0000;1.366667;
83726;21/08/2007;0000;1.633333;
83726;22/08/2007;0000;1.766667;
83726;23/08/2007;0000;1.666667;
83726;24/08/2007;0000;1.866667;
83726;25/08/2007;0000;1.166667;
83726;26/08/2007;0000;1.75;
83726;27/08/2007;0000;2;
83726;28/08/2007;0000;2.8;
83726;29/08/2007;0000;2.933333;
83726;30/08/2007;0000;3.366667;
83726;31/08/2007;0000;3.933333;
83726;01/09/2007;0000;2.5;
83726;02/09/2007;0000;1.566667;
83726;03/09/2007;0000;4.266667;
83726;04/09/2007;0000;4.3;
83726;05/09/2007;0000;3.533333;
83726;06/09/2007;0000;3.133333;
83726;07/09/2007;0000;2.3;
83726;08/09/2007;0000;2.366667;
83726;09/09/2007;0000;2.633333;
83726;10/09/2007;0000;2.333333;
