--------------------
BDMEP - INMET
--------------------
Estação           : FRANCA - SP (OMM: 83630)
Latitude  (graus) : -20.58
Longitude (graus) : -47.36
Altitude  (metros): 1026.20
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83630;21/02/2007;1200;0.2;;19.3;;;;
83630;22/02/2007;0000;;28.8;;11.5;58.75;3;
83630;22/02/2007;1200;0;;19.8;;;;
83630;23/02/2007;0000;;28.7;;10.8;62;2.666667;
83630;23/02/2007;1200;0;;18;;;;
83630;24/02/2007;0000;;29;;9.8;63.5;2;
83630;24/02/2007;1200;0;;19;;;;
83630;25/02/2007;0000;;27.7;;5.2;75;2.333333;
83630;25/02/2007;1200;9;;17.5;;;;
83630;26/02/2007;0000;;26.6;;1.4;80.25;2.333333;
83630;26/02/2007;1200;0.4;;18.1;;;;
83630;27/02/2007;0000;;26.6;;0.3;81.25;3.666667;
83630;27/02/2007;1200;6.6;;18.4;;;;
83630;28/02/2007;0000;;26.7;;3.1;84.25;2.333333;
83630;28/02/2007;1200;0.8;;19.6;;;;
83630;01/03/2007;0000;;26.4;;3;71.5;2;
83630;01/03/2007;1200;14.9;;19.5;;;;
83630;02/03/2007;0000;;28.8;;10.6;59.75;2.333333;
83630;02/03/2007;1200;0;;19.1;;;;
83630;03/03/2007;0000;;28.5;;7.7;63.5;2.666667;
83630;03/03/2007;1200;0;;20;;;;
83630;04/03/2007;0000;;28.5;;11.2;62;2;
83630;04/03/2007;1200;0;;19.2;;;;
83630;05/03/2007;0000;;28.9;;10.7;59.25;1.666667;
83630;05/03/2007;1200;0;;18.3;;;;
83630;06/03/2007;0000;;29;;10.6;61.75;1;
83630;06/03/2007;1200;0;;21;;;;
83630;07/03/2007;0000;;29.4;;9.5;59.75;1.333333;
83630;07/03/2007;1200;0;;20.8;;;;
83630;08/03/2007;0000;;29.9;;10.3;56.75;1.333333;
83630;08/03/2007;1200;0;;20.5;;;;
83630;09/03/2007;0000;;29.5;;7.6;63.5;2;
83630;09/03/2007;1200;0;;20.7;;;;
83630;10/03/2007;0000;;29.8;;9.4;67;0;
83630;10/03/2007;1200;10.9;;19.2;;;;
83630;11/03/2007;0000;;29.4;;9.4;63;1.666667;
83630;11/03/2007;1200;0;;18.8;;;;
83630;12/03/2007;0000;;29.4;;9.1;58.25;2.333333;
83630;12/03/2007;1200;0;;19.4;;;;
83630;13/03/2007;0000;;29.1;;6.9;64.5;2.333333;
83630;13/03/2007;1200;0;;19.7;;;;
83630;14/03/2007;0000;;29.2;;6.7;76.5;1.666667;
83630;14/03/2007;1200;0;;20.4;;;;
83630;15/03/2007;0000;;28.1;;2.5;78.75;1.333333;
83630;15/03/2007;1200;10.1;;19.3;;;;
83630;16/03/2007;0000;;28.3;;4.2;84.5;1.666667;
83630;16/03/2007;1200;0;;19.6;;;;
83630;17/03/2007;0000;;25.9;;3.2;87.75;2.666667;
83630;17/03/2007;1200;21.2;;18.6;;;;
83630;18/03/2007;0000;;26.1;;2.5;87.75;2.666667;
83630;18/03/2007;1200;0;;19.6;;;;
83630;19/03/2007;0000;;24;;0.1;88.75;2.666667;
83630;19/03/2007;1200;15.2;;18.5;;;;
83630;20/03/2007;0000;;23;;0;89.75;3;
83630;20/03/2007;1200;12.7;;18;;;;
83630;21/03/2007;0000;;27.1;;3.3;82.5;0;
83630;21/03/2007;1200;8.6;;18.3;;;;
83630;22/03/2007;0000;;26.9;;1.6;81.5;0.666667;
83630;22/03/2007;1200;17;;19;;;;
83630;23/03/2007;0000;;28;;3.8;74.5;2.333333;
83630;23/03/2007;1200;9.8;;19.2;;;;
83630;24/03/2007;0000;;30.2;;8.3;65;2;
83630;24/03/2007;1200;0;;19.3;;;;
83630;25/03/2007;0000;;30.4;;9.5;67.75;1;
83630;25/03/2007;1200;0;;19.8;;;;
83630;26/03/2007;0000;;29.7;;6.7;72.5;1.333333;
83630;26/03/2007;1200;0;;20.4;;;;
83630;27/03/2007;0000;;29.9;;9.8;60.5;1.666667;
83630;27/03/2007;1200;0;;20.6;;;;
83630;28/03/2007;0000;;30;;9.5;65.25;2;
83630;28/03/2007;1200;0;;20.3;;;;
83630;29/03/2007;0000;;29.8;;10.7;59.5;1;
83630;29/03/2007;1200;0;;21;;;;
83630;30/03/2007;0000;;29;;10.4;57.25;2;
83630;30/03/2007;1200;0;;19.8;;;;
83630;31/03/2007;0000;;29.2;;8.7;64.5;0.666667;
83630;31/03/2007;1200;0;;20.8;;;;
83630;01/04/2007;0000;;30.1;;9.3;61;1.333333;
83630;01/04/2007;1200;0;;21.5;;;;
83630;02/04/2007;0000;;29.7;;10.5;54;1.666667;
83630;02/04/2007;1200;0;;21.1;;;;
83630;03/04/2007;0000;;29.9;;10.7;49.75;2.666667;
83630;03/04/2007;1200;0;;20.7;;;;
83630;04/04/2007;0000;;30.2;;8.9;61.5;0;
83630;04/04/2007;1200;0;;21.1;;;;
83630;05/04/2007;0000;;28.8;;3.2;74;1.333333;
83630;05/04/2007;1200;0;;21;;;;
83630;06/04/2007;0000;;28.3;;4.8;83.5;3;
83630;06/04/2007;1200;0;;20;;;;
83630;07/04/2007;0000;;27.4;;3.2;80.5;2;
83630;07/04/2007;1200;12;;18.8;;;;
83630;08/04/2007;0000;;23.4;;1.2;91.75;2.333333;
83630;08/04/2007;1200;10.2;;18.1;;;;
83630;09/04/2007;0000;;24.9;;7;86.75;1.666667;
83630;09/04/2007;1200;36.6;;18.1;;;;
83630;10/04/2007;0000;;26.7;;8.9;72.25;1;
83630;10/04/2007;1200;0.4;;17.7;;;;
83630;11/04/2007;0000;;27;;10.6;66.75;1.1;
83630;11/04/2007;1200;0;;17.9;;;;
83630;12/04/2007;0000;;28;;8.2;65.75;2.333333;
83630;12/04/2007;1200;0;;19.1;;;;
83630;13/04/2007;0000;;27.4;;7.5;64.25;2.333333;
83630;13/04/2007;1200;0;;19.9;;;;
83630;14/04/2007;0000;;27.9;;7.9;65.75;2;
83630;14/04/2007;1200;0;;17.8;;;;
83630;15/04/2007;0000;;26.9;;7.3;67.25;0.666667;
83630;15/04/2007;1200;0;;18.1;;;;
83630;16/04/2007;0000;;27.1;;7.9;65.75;2.333333;
83630;16/04/2007;1200;0;;18.1;;;;
83630;17/04/2007;0000;;26.9;;7.5;76;2;
83630;17/04/2007;1200;0;;17.4;;;;
83630;18/04/2007;0000;;26.3;;9.4;71.25;2.666667;
