Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Ocorrencia
,31.2,,9.7,4.6,25.16,61.25,2.97,LANINA
0,,19.1,,,,,2.60,LANINA
,30.7,,9.4,4.6,24.34,66.5,2.40,LANINA
0,,20,,,,,2.27,LANINA
,30.8,,8.4,5.1,23.88,63.5,1.30,LANINA
0,,19,,,,,1.63,LANINA
,31.1,,8.5,4.5,24.34,68.5,2.87,LANINA
0,,19,,,,,2.53,LANINA
,31.6,,10.1,4,25.08,67.5,2.43,LANINA
2.6,,20.5,,,,,1.00,LANINA
,31.9,,9.9,4.6,25.04,62.5,1.03,LANINA
0,,20.1,,,,,1.93,LANINA
,30.9,,7.1,4.9,24.34,71.5,2.23,LANINA
0,,20.5,,,,,2.97,LANINA
,31.9,,8.8,4.3,25.08,64.75,2.57,LANINA
0,,18.8,,,,,2.17,LANINA
,30.2,,9.7,4.5,24.46,71.5,2.63,LANINA
4,,19.6,,,,,2.70,LANINA
,30.8,,6.8,3.7,24.3,67.75,3.60,LANINA
0,,20.3,,,,,1.33,LANINA
,31,,8.5,4.4,25.06,62.25,2.33,LANINA
0,,19.6,,,,,2.03,LANINA
,29.4,,1.2,4.6,22.8,77.25,3.33,LANINA
0,,19.5,,,,,2.17,LANINA
,28.9,,7,2.8,23.48,77.75,1.63,LANINA
4.2,,18.9,,,,,1.03,LANINA
,28.3,,2.6,2.7,23.22,85.5,1.13,LANINA
0.3,,20.5,,,,,1.90,LANINA
,25.6,,0.8,1.8,21.66,88.75,1.53,LANINA
14.6,,19.1,,,,,1.63,LANINA
,26.7,,2.4,1.9,22.08,87.75,1.37,LANINA
6.8,,19.1,,,,,1.30,LANINA
,23.8,,0,2,19.86,89.25,0.97,LANINA
45,,18.5,,,,,2.03,LANINA
,25.2,,2.8,1.1,19.42,81,1.33,LANINA
0.4,,17.4,,,,,1.40,LANINA
,28.2,,7.5,2.8,21.68,67,0.87,LANINA
0,,13.2,,,,,1.80,LANINA
,28.5,,1.1,3.7,22.42,80.25,2.17,LANINA
0,,19.9,,,,,1.90,LANINA
,31.1,,8.2,2.2,23.6,72.25,2.13,LANINA
0.3,,19.4,,,,,2.70,LANINA
,31.4,,7.3,3.4,24.18,73.5,2.03,LANINA
27,,19.5,,,,,2.77,LANINA
,31.8,,7.8,3.3,23.66,74.75,1.70,LANINA
0,,19.6,,,,,2.40,LANINA
,31.6,,7.9,3.1,24.36,72.75,1.53,LANINA
0,,19.3,,,,,2.30,LANINA
,32.2,,9.8,3.4,25.08,68.5,1.30,LANINA
0,,19.5,,,,,2.27,LANINA
