--------------------
BDMEP - INMET
--------------------
Estação           : PRESIDENTE PRUDENTE - SP (OMM: 83716)
Latitude  (graus) : -22.11
Longitude (graus) : -51.38
Altitude  (metros): 435.55
Estação Operante
Inicio de operação: 01/10/1940
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83716;20/02/2007;1200;29.6;;21.2;;;;
83716;21/02/2007;0000;;30.4;;3.4;77.5;2.433333;
83716;21/02/2007;1200;12.6;;21;;;;
83716;22/02/2007;0000;;32.8;;11;62.25;2.1;
83716;22/02/2007;1200;0;;23.5;;;;
83716;23/02/2007;0000;;33.4;;10.5;57.75;2.4;
83716;23/02/2007;1200;0;;25.1;;;;
83716;24/02/2007;0000;;34.3;;10.9;50.75;0.966667;
83716;24/02/2007;1200;0;;24.5;;;;
83716;25/02/2007;0000;;30.8;;4.3;82.25;1.1;
83716;25/02/2007;1200;1.2;;23.5;;;;
83716;26/02/2007;0000;;29.8;;1.9;73.75;2.166667;
83716;26/02/2007;1200;1.1;;21.2;;;;
83716;27/02/2007;0000;;30.3;;7.6;67.75;1.533333;
83716;27/02/2007;1200;0;;21.2;;;;
83716;28/02/2007;0000;;32.2;;10.9;68.25;2.866667;
83716;28/02/2007;1200;0;;21.7;;;;
83716;01/03/2007;0000;;32.5;;11;71;2.833333;
83716;01/03/2007;1200;0;;21.7;;;;
83716;02/03/2007;0000;;32.4;;6.5;73.5;2;
83716;02/03/2007;1200;0;;23.5;;;;
83716;03/03/2007;0000;;33.3;;10.9;56.25;2.2;
83716;03/03/2007;1200;2.3;;21.8;;;;
83716;04/03/2007;0000;;33.5;;10.9;54.25;2.3;
83716;04/03/2007;1200;0;;23.3;;;;
83716;05/03/2007;0000;;33.8;;10.8;53;2.133333;
83716;05/03/2007;1200;0;;22.7;;;;
83716;06/03/2007;0000;;34.3;;11;63.75;1.766667;
83716;06/03/2007;1200;0;;23.6;;;;
