--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS DO JORDAO - SP (OMM: 83714)
Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Altitude  (metros): 1642.00
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83714;06/03/2007;1200;0;;;;;;
83714;07/03/2007;0000;;24.8;;;;;
83714;07/03/2007;1200;13.1;;;;;;
83714;08/03/2007;0000;;24.2;;;;;
83714;08/03/2007;1200;1.8;;;;;;
83714;09/03/2007;0000;;25.8;;;;;
83714;09/03/2007;1200;1.5;;;;;;
83714;10/03/2007;0000;;23.8;;;;;
83714;10/03/2007;1200;3.8;;;;;;
83714;11/03/2007;0000;;25.4;;;;;
83714;11/03/2007;1200;37.2;;;;;;
83714;12/03/2007;0000;;24.8;;;;;
83714;12/03/2007;1200;0.2;;;;;;
83714;13/03/2007;0000;;24;;;;;
83714;13/03/2007;1200;6.9;;;;;;
83714;14/03/2007;0000;;25;;;;;
83714;14/03/2007;1200;0;;;;;;
83714;15/03/2007;0000;;24.4;;;;;
83714;15/03/2007;1200;10.8;;;;;;
83714;16/03/2007;0000;;23;;;;;
83714;16/03/2007;1200;0;;;;;;
83714;17/03/2007;0000;;20.8;;;;;
83714;17/03/2007;1200;12.4;;;;;;
83714;18/03/2007;0000;;19.4;;;;;
83714;18/03/2007;1200;6.1;;;;;;
83714;19/03/2007;0000;;18.6;;;;;
83714;19/03/2007;1200;28.3;;;;;;
83714;20/03/2007;0000;;18.4;;;;;
83714;20/03/2007;1200;11.1;;;;;;
83714;21/03/2007;0000;;23.2;;;;;
83714;21/03/2007;1200;7.9;;;;;;
83714;22/03/2007;0000;;22;;;;;
83714;22/03/2007;1200;0;;;;;;
83714;23/03/2007;0000;;25;;;;;
83714;23/03/2007;1200;2.5;;;;;;
83714;24/03/2007;0000;;25;;;;;
83714;24/03/2007;1200;0.4;;;;;;
83714;25/03/2007;0000;;25.2;;;;;
83714;25/03/2007;1200;0;;;;;;
83714;26/03/2007;0000;;26;;;;;
83714;26/03/2007;1200;0;;;;;;
83714;27/03/2007;0000;;25.4;;;;;
83714;27/03/2007;1200;0;;;;;;
83714;28/03/2007;0000;;26;;;;;
83714;28/03/2007;1200;0;;;;;;
83714;29/03/2007;0000;;27;;;;;
83714;29/03/2007;1200;0;;;;;;
83714;30/03/2007;0000;;24.2;;;;;
83714;30/03/2007;1200;0;;;;;;
83714;31/03/2007;0000;;26;;;;;
83714;31/03/2007;1200;0.6;;;;;;
83714;01/04/2007;0000;;24.4;;;;;
83714;01/04/2007;1200;0;;;;;;
83714;02/04/2007;0000;;25.8;;;;;
83714;02/04/2007;1200;0;;;;;;
83714;03/04/2007;0000;;26.2;;;;;
83714;03/04/2007;1200;0;;;;;;
