"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.078431372549","18.6486486486487","12.129840546697","3.96140172676485","7.96287249633609","5.88235294117648","7.30769230769231","8.20390282755874","2.54714266234267","1.18578998761679","7.04687220657434","1.99198836186616","1.23803928308813","7.6165897041888","-2.97125698742023","-3.27364688726264","1.97554728660143","7.91156467197911","1.21434883180251","1.0506066363106","1.800225853688","-0.090707753517691","-10.5197476066345","-3.68502958088573","3.44605475040258","-1.36986301369863","4.19823232323233","0.848227809754619","-0.450585761489947","-0.211225105612556","1.33051103719384","",
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.83227780370231","1.41411798021916","11.2297148388595","5.35740324754602","13.8263195390595","3.92498382284523","21.390528405312","14.3624414596815","0.426354792856571","12.7522870825788","5.60074466131904","2.72454336495028","1.45131465458005","2.2603142045464","2.66529204636834","1.03066005804328",
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-4.40000121936168","0","4.20000142834165","6.00000216437297","3.49999948953466","2.90000174265121","4.08274863648847","6.12889047620018","0.0416214618442581","-3.45009868360484","0.991359301460875","-5.8382807331314","-23.9834174420578","1.33936343647989","15.0000000288634","13.5443697551026","7.27427735460373","4.69114645093549","2.18148971840458","3.05462423430785","4.2059985561951","13.6656865230232","2.98985001039553","10.9528617687103","15.0289153175302","11.5476831781633","14.0100182426328","11.1661383303613","0.858712615098312","4.85921958436937","3.47198137230222","8.54214733707519","4.95459047755875","4.8226255492722","0.94357561305911","-2.58009724033977","-0.147207426247036","-2.13349325676356",
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.7456352920068","2.9485968015687","1.104938261827","-1.25159664469855","1.78064395977269","5.63724317825185","-0.787842655012938","-1.42003965482247","9.83654897047623","-9.57564016948645","-28.002141656046","-7.18711091636951","9.55941169434753","8.30286659112861","13.3223333200803","9.09999944360231","-10.9199840851035","8.83008770869769","12.8898967331889","6.95003613422918","8.29007002725659","4.53996064044719","5.53005077793323","5.5099986931984","5.52991480926491","5.90008395738064","5.97998203625438","7.49996956029166","3.3499939006005","3.70688068400311","2.5454053935363","1.41752599216282","1.00198792581364","1.77000029658963","2.23000017922044","3.34999968813095","3.83661965642376","4.00441323438758",
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64946536081882","8.14974348860618","7.78846720294044","5.61878972962946","0.542205658763706","3.30378704950753","2.83857556610091","1.46300017893419","0.0415571951292861","2.20872760693054","-0.132474511474584","1.24646111342553","1.7701183169325","1.78468669356819","2.32143303219918","3.2533217783064","5.54712217053806","5.09432620323219","4.82703424406914","3.7813875896292","2.54600287187638","0.929211956288896","-1.0314840109579","2.38318769098804","2.7574991873297","4.6497401487506","9.06767219910516","3.19479029605851","4.09908083663409","3.52836129711109","4.54676831970609","6.47101467082791","12.1687198869046","7.64786979021986","7.39698271536501","4.53635311915991","0.0400110668908411","-8.59000378676674","-3.69065350958851","-5.35882577533336","-4.64654305163337","-1.61521818298665","0.351645001850741","2.27768315306425","0.842203518374134","1.8891243866394","1.72402223678981","1.62934547096762",
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","15.8203340428444","8.23741043691442","-0.662363416616301","11.533344458902","9.13967690122975","2.91789192361635","-9.07276289144026","-6.83794500703236","1.36992956949753","-2.29178869755913","4.70559978076905","-0.493986299884028","5.60664352262185","2.36889548775534","13.1108930579909","1.52148110944592","4.98937181693869","3.26372459684679","3.20418825689333","2.74884104122522","4.59560229232704","4.25710798697341","5.26676978519683","1.79639512683403","5.48019245374824","1.61361718573842","0.586325147846495","5.31975385528234","9.34361927576037","5.71635185576054","6.49629420982625","4.57147906332511","5.81917496795509","0.42831683636517","4.77207865022406","3.62908644937873","6.6566784518331","3.16615143797144","2.45520052829529","3.30761814833609","3.24732515694024","0.999881844632398","2.09674677213106",
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.5268565060148","21.439330170199","-1.58960331991595","20.9235730770152","23.874774910498","4.65917667406515","-6.71931618570783","-4.74582069996582","4.0169512795941","-3.59447651736838","-14.9581365645327","3.38198170900878","-2.61890770383279","12.33789128226","18.3279855336405","0.860081945778219","3.3449448618412","1.26119095149724","6.89614855052668","6.68788646362944","5.79840406132159","8.1903986407705","0.291994348685435","2.90221364464598","10.8527042125985","1.39908503032633","2.43345681036158","8.80054081486432","9.56643663716162","4.85514119630903","9.83731977348492","3.18439017367238","3.19183627610384","-5.2429219066759","1.60280996068229","6.93027162943835","4.4846260849087","5.05334582526655","4.39869668246446","5.06470152944831","2.98844182081464","0.790400387794406","1.4238403611281",
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287951248","-0.852021523481966","-5.30819682651727","10.1302976614338","10.5694333403429","-0.659726171593704","3.1919966233703","4.82250078158646","9.67952600806899","3.04564331900328","5.65813108318036","1.62841651625511","2.81175404095775","5.53380439483222","-0.0284121027670921","-2.01825151667566","6.93414775537975","-4.50612480247693","10.2227634648727","1.51878394940456","-5.18978914005386","-0.735659161627297","4.34909327957422","1.57073870223007","-5.18902435215529","6.15337706274559","2.70486882600891","-1.08993334173134","-7.15694965554972","-2.46721377637459","9.13311056620103","7.93729155643075","8.20697907221228","5.83620070368526","-2.84520961057081","5.52668982715234","8.1110467707457","3.85017885156229","-3.3854570406327","-0.78899893905691","-4.40883968258557","-10.8944848285903","8.83704079576924","9.02957330068155","8.85165992013435","8.04715150043027","9.00765087504757","4.05723310346406","-5.91852507634947","10.1253981561002","6.00395169280579","-1.02642045443208","2.40532378079436","-2.51261532081396","2.73115982828946","-2.08032784377811","2.66859037935303","-2.51458960248539",
"Armenia","ARM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6999984849208","-41.8000027447203","-8.79999879416236","5.40000278277381","6.89999841554014","5.86540075090531","3.32107969826836","7.29999998931331","3.30000000199068","5.90000000103537","9.55664149980662","13.1863005304562","14.0407950552142","10.4678418560027","13.8657112537337","13.1980035180683","13.7492019576137","6.90000000204793","-14.1499886393402","2.19999999752649","4.69999999879775","7.20000000365837","3.3","3.60000000058993","3.19999999896625","0.199999999825991","7.5000000006513","5.2",
"American Samoa","ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.814111261872455","0.538358008075377","-0.401606425702823","-4.16666666666666","1.96353436185133","-2.61348005502063","-4.23728813559322","0.442477876106182","0.293685756240819","-4.39238653001463","-2.75650842266462","0.944881889763778","1.24804992199688","-2.61941448382126","-5.37974683544303","",
"Antigua and Barbuda","ATG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","4.38362792086504","8.07974533665914","8.16143079697964","3.81491616554095","-0.0840122638518039","5.36401627271424","10.1649955948421","7.6437935974254","11.4938285653697","6.62636884664514","5.21327290002557","5.2522746560909","3.01164666223812","2.17687336256473","1.15832626873824","5.28007148779103","6.67619516293692","-4.35949398995461","6.60481808836559","5.471131931738","4.73131371210214","3.70789461849279","6.69174238194239","-4.95407471089256","1.02410086163871","6.05790854956044","5.736460188482","6.41240516399535","12.728507447159","9.25942055972271","-0.03013326815055","-12.1075361856213","-7.20002446135504","-2.07912704683282","3.50660922205834","-0.103864693282389","4.65812743059392","4.02573680753291","5.5897408043279","3.03260611189997","4.93065090850533",
"Australia","AUS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","2.48610301875503","1.295678127893","6.21501706484642","6.97849612087586","5.98327965691593","2.38251937410845","6.30272907061504","5.09575517691343","7.0445141272957","7.17193772970082","4.00377243482831","3.91263316497113","2.61353442226901","4.10349737512928","1.34987663200168","2.58770445572476","3.59741859126095","0.896975217393006","4.04334836678564","3.03415236757638","3.33785922398519","3.32863134013712","-2.22067753222406","4.58135672002953","5.2493116661356","4.03673285618915","2.55554676762506","5.73791244928962","3.86971234496036","3.56894443347744","-0.39604619003822","0.413289478584858","4.02942256113393","3.98080538216495","3.83431611233358","3.87868256204173","3.96647738484137","4.57664094272158","5.07366345099052","3.93310233186104","1.93081633840112","4.00143112053115","2.98595984870325","4.05550312391121","3.20419879588572","2.79452922100933","3.84430054214889","3.65794371701969","1.93690539224896","2.06752009293855","2.46272464735648","3.90090002283101","2.61572247679898","2.56870704342289","2.33607548109676","2.84675495108566","2.34258228676258","2.83494813296824",
"Austria","AUT","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.53797931684525","2.64867511295262","4.13826758157036","6.12435373762833","3.48017491799561","5.64286141093268","3.00804779775493","4.47231278246069","6.2758671660702","6.32114254507779","5.11496871403365","6.20786098645996","4.89043542507672","3.94213813939555","-0.363735739528693","4.57844540313283","5.07998079916527","-0.210653450960095","5.35669983130138","1.73148542809489","-0.144294518362841","2.01125436553259","2.97308802055163","0.0512752525777955","2.4986784712659","2.30139280099837","1.35716798439928","3.29588020740688","3.88707478770178","4.34564156052724","3.44162739232672","2.09352472320464","0.526809482420504","2.40211876340426","2.66798366552709","2.34953509672661","2.09359647615659","3.58143100907364","3.55633024060906","3.37572197324998","1.26717046902299","1.65154940733892","0.941473311999275","2.73511851844388","2.24406681223554","3.45404103230437","3.72741517552969","1.46042519318141","-3.76458048308088","1.83709459152502","2.92279763636382","0.68044437424868","0.0255041006158336","0.661274652949004","1.14298010071532","2.03957498344849","2.55088075977935","2.72908309897117",
"Azerbaijan","AZE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.699999960062357","-22.6000003946569","-23.099999548566","-19.7000000190049","-11.8000008993603","1.30000019976251","5.8000005239013","10.0000002781915","7.40000058167315","11.0999992535407","9.89999999999998","9.43891634238625","10.2083000110732","9.25380132627771","27.9615380685244","34.4662093637953","25.4632159061216","10.5914372943933","9.369502784186","4.7888327097976","-1.57299762108386","2.20293902267818","5.84267326989973","2.79728938165775","1.05075098242399","-3.06420003538679","-0.282011196847733","1.41287352692132",
